crop_name,url,kannada_name
spine-gourd,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/spine-gourd.jpg,ಮಡಹಾಗಲಕಾಯಿ
sponge-gourd,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/sponge-gourd.jpg,ತುಪ್ಪಿರೇಕಾಯಿ
star-fruit,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/star-fruit.jpg,ನಕ್ಷತ್ರ ಹಣ್ಣು
star-gooseberry,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/star-gooseberry.jpg,ಕಿರುನೆಲ್ಲಿ
sundekayi,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/sundekayi.jpg,ಸುಂಡೆಕಾಯಿ
sweet-corn,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/sweet-corn.jpg,ಸ್ವೀಟ್ ಕಾರ್ನ್
sweet-potato,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/sweet-potato.jpg,ಸಿಹಿ ಗೆಣಸು
sword-bean,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/sword-bean.jpg,ಕತ್ತಿ ಅವರೆ
tamarind,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/tamarind.jpg,ಹುಣಸೆಹಣ್ಣು
tapioca,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/tapioca.jpg,ಮರಗೆಣಸು
taro,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/taro.jpg,ಕೆಸುವಿನ ಗಡ್ಡೆ
tender-coconut,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/tender-coconut.jpg,ಎಳನೀರು
tree-tomato,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/tree-tomato.jpg,ಮರ ಟೊಮೇಟೊ
turmeric,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/turmeric.jpg,ಅರಿಶಿಣ
turnip,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/turnip.jpg,ಟರ್ನಿಪ್
winged-bean,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/winged-bean.jpg,ರೆಕ್ಕೆ ಅವರೆ
wood-apple,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/wood-apple.jpg,ಬೇಲದ ಹಣ್ಣು
yam-bean,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/yam-bean.jpg,ಯಾಮ್ ಬೀನ್
yard-long-bean,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/yard-long-bean.jpg,ಅಲಸಂದೆ
